endothelial cell of hepatic sinusoid:Liver	PECAM1;CD34;ENG
Kupffer cell:Liver	CD68
hepatic stellate cell:Liver	PDGFRB;GFAP;DES
hepatocyte:Liver	CYP2D6;MME
periportal region hepatocyte:Liver	HAL;CYP2A7
centrilobular region hepatocyte:Liver	GLUL;CYP3A4
vein endothelial cell:Liver	PECAM1;CD34;VWF;SELE
stratified cuboidal epithelial cell:Liver	KRT7;KRT19
columnar/cuboidal epithelial cell:Liver	CFTR
afferent neuron:Liver	TUBB3
endothelial cell of artery:Liver	PECAM1;CD34
portal fibroblast:Liver	CCN2;THY1
hepatic oval stem cell:Liver	SOX9;KIT;PROM1;OPHN1;THY1;LGR5;EPCAM
dendritic cell, human:Liver	CSF1R;FLT3;CD74;ITGAX;FCGR1A;ADGRE1
conventional dendritic cell:Liver	THBD
CD1c-positive myeloid dendritic cell:Liver	CD1C
plasmacytoid dendritic cell:Liver	ITGAX
CD8 TRm (residence memory):Liver	TRAC;CD69;ZNF683;ITGAE;CD8A
CD4-positive, alpha-beta T cell:Liver	TRAC;CD4
CD8-positive, alpha-beta memory T cell, CD45RO-positive:Liver	S1PR1;CXCR3;CCR7;KLF2;CXCR6;SELL
type I NK T cell:Liver	TRAJ24;TRAV11;TRAJ18;CD1D;CXCR6
Eomes low Liver NK cell:Liver	CD69;NCAM1;TBX21;EOMES;ITGAE;ITGA1;CXCR6
TBet low Liver NK cell:Liver	CD69;NCAM1;TBX21;EOMES;ITGAE;ITGA1;CXCR6
natural killer cell:Liver	CD69;NCAM1;TBX21;EOMES;ITGA1;CXCR6
hepatic pit cell:Liver	TBX21;ITGA1;EOMES
