basal cell of bladder urothelium:Urinary Bladder	S100A2;DKK1;KRT5
intermediate cell of bladder urothelium:Urinary Bladder	KRT13;TP63
superficial cell of bladder urothelium:Urinary Bladder	UPK3A;UPK1B;UPK1A-AS1
detrusor smooth muscle cell of bladder:Urinary Bladder	DES;ACTA2-AS1
myofibroblast cell of bladder:Urinary Bladder	STC1;MFAP4;TNC
PI16+ fibroblast cell of bladder:Urinary Bladder	DCN;PI16;MFAP5
DPT+ fibroblast cell of bladder:Urinary Bladder	DCN;C7;DPT
lipofibroblast cell of bladder:Urinary Bladder	PILRA;SLPI
endothelial cell of bladder:Urinary Bladder	SELE;CLDN5;PECAM1
vascular smooth muscle cell of bladder:Urinary Bladder	MCAM;ACTA2-AS1
pericyte cell of bladder:Urinary Bladder	CD36;ACTA2-AS1
