basal cell of ureter urothelium:Ureter	DKK1;S100A2;KRT5
intermediate cell of ureter urothelium:Ureter	TP63;KRT13
superficial cell of ureter urothelium:Ureter	UPK1A;UPK3A;UPK1B
detrusor smooth muscle cell of ureter:Ureter	DES
myofibroblast cell of ureter:Ureter	MFAP4;TNC;STC1
PI16+ fibroblast cell of ureter:Ureter	MFAP5;PI16;DCN
DPT+ fibroblast cell of ureter:Ureter	DPT;DCN;C7
lipofibroblast cell of ureter:Ureter	PILRA;SLPI
endothelial cell of ureter:Ureter	SELE;CLDN5;PECAM1
vascular smooth muscle cell of ureter:Ureter	MCAM
pericyte cell of ureter:Ureter	CD36
