basal cell of ureter urothelium (0)	KRT5, S100A2, DKK1
intermediate cell of ureter urothelium (1)	TP63, KRT13, AKR1C1
superficial cell of ureter urothelium (2)	UPK1A, UPK3A, UPK1B
add to CL (3)	DES, ACTG2, ACTA2
myofibroblast cell of ureter (4)	STC1, TNC, MFAP4
PI16+ fibroblast cell of ureter (5)	PI16, MFAP5, DCN
DPT+ fibroblast cell of ureter (6)	DPT, C7, DCN
lipofibroblast cell of ureter (7)	PILRA, SLPI, APOE
endothelial cell of ureter (8)	PECAM1, CLDN5, SELE
vascular smooth muscle cell of ureter (9)	MCAM, ADRA2A, ACTA2
pericyte cell of ureter (10)	CD36, AVPR1A, ACTA2
