Myofibroblast (0)	ACTA2, COL1A1, COL3A1
Blood Vessel Endothelial Cell (1)	CAV1, CCL14, CD34, CD74, CD209, CD300LG, DARC, EMCN, ESAM, ICAM1, JAM2, HLA-DRA, HLA-DRB1, HLA-DPA1, HLA-DPB1, MARCO, PLVAP, PVRL2, SPARCL1
Blood Vessel Endothelial Cell (2)	CAV1, CCL14, CD34, CD74, CD209, CD300LG, DARC, EMCN, ESAM, ICAM1, JAM2, HLA-DRA, HLA-DRB1, HLA-DPA1, HLA-DPB1, MARCO, PLVAP, PVRL2, SPARCL1
Myofibroblast (3)	ACTA2, COL1A1, COL3A1
Blood Vessel Endothelial Cell (4)	CAV1, CCL14, CD34, CD74, CD209, CD300LG, DARC, EMCN, ESAM, ICAM1, JAM2, HLA-DRA, HLA-DRB1, HLA-DPA1, HLA-DPB1, MARCO, PLVAP, PVRL2, SPARCL1
Pericyte (5)	PDGFRalpha+, PDGFRbeta+
Endothelial Cell of Lymphatic Vessel (6)	ACKR4, CAV1, NUDT4, NT5E
Smooth Muscle Cell (7)	ACTA2
Macrophage (8)	CD4, CD14, HLA-DRA, ITGAX
Marginal Reticular Cell (9)	CXCL13, ENPP2, TNFSF11
Lymphatic Endothelial Cell -Subcapsular Sinus Ceiling (10)	ACKR4, CAV1, NUDT4, NT5E
Lymphatic Endothelial Cell-Subcapsular Sinus Floor (11)	CCL20, CXCL1, CXCL5, DARC, LYZ, MARCO, TNFRSF9, THY1
Lymphatic Endothelial Cell-Trabeculae (12)	ACKR4, LYVE1, MFAP4, NT5E
Blood Vessel Endothelial Cell (13)	CAV1, CCL14, CD34, CD74, CD209, CD300LG, DARC, EMCN, ESAM, ICAM1, JAM2, HLA-DRA, HLA-DRB1, HLA-DPA1, HLA-DPB1, MARCO, PLVAP, PVRL2, SPARCL1
Blood Vessel Endothelial Cell (14)	CAV1, CCL14, CD34, CD74, CD209, CD300LG, DARC, EMCN, ESAM, ICAM1, JAM2, HLA-DRA, HLA-DRB1, HLA-DPA1, HLA-DPB1, MARCO, PLVAP, PVRL2, SPARCL1
Follicular Dendritic Cell (15)	CR2, CXCL13, FCGRB, MADCAM1, MFGE8, VCAM1
Naive B Cell (16)	CD19, MS4A1, IGHD, FCER2, HLA-DRA, SELL
Memory B Cell (17)	CD19, MS4A1, HLA-DRA
Macrophage (18)	CD4, CD14, HLA-DRA, ITGAX
