Splenic endothelial cell (0)	CD34+, PECAM1+, vWF+
Catecholaminergic Neuron (1)
Catecholaminergic Neuron (2)
Splenic endothelial cell (3)	CD34+, PECAM1+, vWF+
Naive B Cell (4)	CD19+, CD79a+, MS4A1+
Memory-Like B Cell (5)	CD19+, CD79a+, MS4A1+
Switched B Cell (6)	CD19+, CD79a+, MS4A1+
Adventitial Stromal Cell (7)
Splenic Stromal Cell (non-FRC/non-FDC) (8)
Splenic Smooth Muscle Cell (9)
Splenic endothelial cell (10)	CD34+, PECAM1+, vWF+
Splenic endothelial cell (11)	CD34+, PECAM1+, vWF+
Splenic Pericyte (12)
Splenic Stromal Sheath Cell (13)
Macrophage (14)	APOE+, CD5L+
Naive B Cell (15)	CD19+, CD79a+, MS4A1+
Memory-Like B Cell (16)	CD19+, CD79a+, MS4A1+
Switched B Cell (17)	CD19+, CD79a+, MS4A1+
Reticular Cell of splenic sinusoid (18)
Splenic Littoral Cell (19)	ACKR1+, CD8a+, FHOD1+, PECAM1+, vWF+
Splenic Red Pulp Stromal Cell (20)
Splenic endothelial cell (21)	CD34+, PECAM1+, vWF+
Splenic endothelial cell (22)	CD34+, PECAM1+, vWF+
Red Pulp Macrophage (23)	APOE+, CD5L+
Hematopoetic Stem Cell (24)	CPA3+, HPGDS+, IGLL1+, SOX4+
Monocytes (25)	CD14+, FCN1+, VCAN+
Erythrocytes (26)
B cell (27)	CD19+, CD79a+, MS4A1+
CD8+ T Cell (28)	CD3+, CD4-, CD8a+
Memory CD8+ T Cell (29)	CD3+, CD4-, CD8a+
Plasma Cell (30)	IGHG1+, IGHM+, JCHAIN+, SDC1+, XBP1+
Plasmablast (31)	IGHG1+, IGHM+, JCHAIN+, SDC1+, XBP1+
Dendritic Cell (32)
Platelet (33)	GP9+, PF4+
NK Cell (34)	CD160+, FCGR3A+, NCAM1+, NCR1+
Splenic Stromal Cell (non-FRC/non-FDC) (35)
Red Pulp Reticular Cell (36)
Erythrocytes (37)
Monocytes (38)	CD14+, FCN1+, VCAN+
Neutrophil (39)
Splenic perifollicular zone macrophage (40)	APOE+, CD5L+
Stromal Cell (41)
cDC1 myeloid dendritic cell (42)	CLEC9A+, XCR1+
cDC2 myeloid dendritic cell (43)	CD1c+, CLEC10A+
Monocyte-Derived DC (44)
Plasmacytoid Dendritic Cell (45)	CLEC4C+, IL3RA+
DEC205+ DC (46)
Splenic endothelial cell (47)	CD34+, PECAM1+, vWF+
Lymphatic Endothelium Cell (48)
Follicular Dendritic Cell (FDC) (49)	CR2+, CXCL13+, FCGR2B+, FNBP1+, KLF6+, MADCAM1+, MFGE8+, POSTN+, PTHLH+, SOX9+
Naive B Cell (50)	FCER2+, IGHD+, IL4R+, TCL1A+, YBX3+
Memory B Cell (51)	CD19+, CD79a+, MS4A1+
Macrophage (52)	APOE+, CD5L+
DEC205+ DC (53)
Follicular Dendritic Cell (FDC) (54)	CR2+, CXCL13+, FCGR2B+, FNBP1+, KLF6+, MADCAM1+, MFGE8+, POSTN+, PTHLH+, SOX9+
Germinal Center B Cell (55)	AICDA+
T Follicular Helper Cell (56)	CXCR5+, ICOS+, PDCD1+
T Follicular Regulatory Cell (57)	CXCR5+, FOXP3+, IL2RA+, PDCD1+
Tingible Body Macrophage (58)	APOE+, CD5L+
Plasmablast (59)	IGHG1+, IGHM+, JCHAIN+, SDC1+, XBP1+
Mantle Zone B Cell (60)	CD27+, TNFRSF13B
Transitional Immature B Cells (61)	CD19+, CD79a+, MS4A1+
Follicular Dendritic Cell (FDC) (62)	CR2+, CXCL13+, FCGR2B+, FNBP1+, KLF6+, MADCAM1+, MFGE8+, POSTN+, PTHLH+, SOX9+
Splenic endothelial cell (63)	CD34+, PECAM1+, vWF+
Splenic Pericyte (64)
Naive B Cell (65)	CD19+, CD79a+, MS4A1+
Memory B Cell (66)	CD19+, CD79a+, MS4A1+
Follicular Dendritic Cell (FDC) (67)	CR2+, CXCL13+, FCGR2B+, FNBP1+, KLF6+, MADCAM1+, MFGE8+, POSTN+, PTHLH+, SOX9+
Splenic endothelial cell (68)	CD34+, PECAM1+, vWF+
Splenic Pericyte (69)
Switched B Cell (70)	CD19+, CD79a+, MS4A1+
Memory B Cell (71)	CD19+, CD79a+, MS4A1+
Superficial Zone B Cell (72)	CD1c+, CD1d+, IGHM+, IL6+
Transitional Immature B Cells (73)	CD19+, CD79a+, MS4A1+
Follicular Dendritic Cell (FDC) (74)	CR2+, CXCL13+, FCGR2B+, FNBP1+, KLF6+, MADCAM1+, MFGE8+, POSTN+, PTHLH+, SOX9+
Macrophage (75)	APOE+, CD5L+
Splenic Stromal Cell (non-FRC/non-FDC) (76)
Plasmacytoid Dendritic Cell (77)	CLEC4C+, IL3RA+
CD4+ T cell (78)	CD3+, CD4-, CD8a+
Plasma Cell (79)	IGHG1+, IGHM+, JCHAIN+, SDC1+, XBP1+
Innate Lymphoid Cell (Type 3) (80)	AHR+, ID2+, RORC+
Neutrophil (81)
Splenic endothelial cell (82)	CD34+, PECAM1+, vWF+
Fibroblastic Reticular Cell (FRC) (83)	BST1+, C3+, CCL21+, CFB+, CTSS+, CXCL9+, CXCL13+, ENPP2+, MADCAM1+, MFGE8+
Splenic endothelial cell (84)	CD34+, PECAM1+, vWF+
Adventitial Stromal Cell (85)
Catecholaminergic Neuron (86)
Naive CD4+ T Cell (87)	CD3+, CD4-, CD8a+
CD4+ T Cell (88)	CD3+, CD4-, CD8a+
Naive CD8+ T Cell (89)	CD3+, CD4-, CD8a+
CD8+ T Cell (90)	CD3+, CD4-, CD8a+
Cytotoxic T Cells (91)	GNLY+, GZMB+, PRF1+
T Regulatory Cell (92)	FOXP3+, IL2RA+
Fibroblastic Reticular Cell (FRC) (93)	BST1+, C3+, CCL19+, CCL21+, CD74+, CLU+, DCN+, DSC2+, ENPP2+, IL7+
Interdigitating Dendritic Cells (94)
Macrophages (95)	APOE+, CD5L+
Catecholaminergic Neuron (96)
Lymphatic Endothelium Cell (97)
Splenic Smooth Muscle Cell (98)
Naive CD4+ T Cell (99)	CD3+, CD4-, CD8a+
CD4+ T Cell (100)	CD3+, CD4-, CD8a+
Naive CD8+ T Cell (101)	CD3+, CD4-, CD8a+
CD8+ T Cell (102)	CD3+, CD4-, CD8a+
Cytotoxic T Cells (103)	GNLY+, GZMB+, PRF1+
T Regulatory Cell (104)	FOXP3+, IL2RA+
Fibroblastic Reticular Cell (FRC) (105)	BST1+, C3+, CCL19+, CCL21+, CD74+, CLU+, DCN+, DSC2+, ENPP2+, IL7+
Transitional Immature B Cells (106)	TCL1A+, IGHD+, IGHM+, FCER2+, CXCR4+, APLP2+, PLPP5+, IL4R+
Cytotoxic Memory T Cell (107)	GNLY+, GZMB+, PRF1+
Non-Cytotoxic CD8+ Memory T Cell (108)	CD3+, CD4-, CD8a+
CD4+ Memory T Cell (109)	CD3+, CD4-, CD8a+
Myofibroblasts (110)
Plasmacytoid Dendritic Cell (111)	CLEC4C+, IL3RA+
Splenic Stromal Cell (non-FRC/non-FDC) (112)
cDC1 myeloid dendritic cell (113)	CLEC9A+, XCR1+
cDC2 myeloid dendritic cell (114)	CD1c+, CLEC10A+
DEC205+ DC (115)
Monocyte-Derived DC (116)
Plasmablast (117)	IGHG1+, IGHM+, JCHAIN+, SDC1+, XBP1+
NK Cell (118)	CD160+, FCGR3A+, NCAM1+, NCR1+
Gamma/Delta T cells (119)	FCGR3A+, TRGV2+
Blood Endothelial Cells (120)	CD34+, PECAM1+, vWF+
Blood Endothelial Cells (121)	CD34+, PECAM1+, vWF+
Catecholaminergic Neuron (122)
Lymphatic Endothelium Cell (123)
Myofibroblast (124)
Subcapsular Dendritic Cell (125)
Lymphatic Endothelium Cell (126)
Splenic endothelial cell (127)	CD34+, PECAM1+, vWF+
Splenic endothelial cell (128)	CD34+, PECAM1+, vWF+
Catecholaminergic Neuron (129)
Lymphatic Endothelium Cell (130)
Myofibroblast (131)
