pericyte (109)	RGS5, ABCC9, KCNJ8
pacemaker cardiomyocyte (110)	HCN4, Cx45
cardiomyocyte (111)	TTN, MYH7, MYL2, FHL2
Purkinje fiber cell (112)
fibroblast (113)	PDGFRA, GSN, DCN
macrophage (114)	CD14, C1QA, CD68, FOLR2
telocyte (interstitial like cell of cajal) (115)	CD34, vimentin
lymphocyte (116)	CD8A, NKG7, LCK
dendritic cell (117)	CD11b, CD11c, CD103, CD205
adipocyte (118)	GPAM, LEP, FASN
cardiomyocyte (119)	TTN, MYH7, MYL2, FHL2
Purkinje fiber cell (120)
fibroblast (121)	PDGFRA, GSN, DCN
macrophage (122)	CD14, C1QA, CD68, FOLR2
endothelial cell (123)	PECAM1, VWF, CDH5
smooth muscle cell (124)	MYH11, TAGLN, ACTA2
fibroblast (125)	PDGFRA, GSN, DCN
endothelial cell (126)	PECAM1, VWF, CDH5
smooth muscle cell (127)	MYH11, TAGLN, ACTA2
fibroblast (128)	PDGFRA, GSN, DCN
endothelial cell (129)	PECAM1, VWF, CDH5
smooth muscle cell (130)	MYH11, TAGLN, ACTA2
fibroblast (131)	PDGFRA, GSN, DCN
endothelial cell (132)	PECAM1, VWF, CDH5
smooth muscle cell (133)	MYH11, TAGLN, ACTA2
fibroblast (134)	PDGFRA, GSN, DCN
pericyte (135)	RGS5, ABCC9, KCNJ8
pericyte (136)	RGS5, ABCC9, KCNJ8
telocyte (interstitial like cell of cajal) (137)	CD34, vimentin
lymphocyte (138)	CD8A, NKG7, LCK
dendritic cell (139)	CD11b, CD11c, CD103, CD205
adipocyte (140)	GPAM, LEP, FASN
cardiomyocyte (141)	TTN, MYH7, MYL2, FHL2
Purkinje fiber cell (142)
fibroblast (143)	PDGFRA, GSN, DCN
macrophage (144)	CD14, C1QA, CD68, FOLR2
endothelial cell (145)	PECAM1, VWF, CDH5
smooth muscle cell (146)	MYH11, TAGLN, ACTA2
fibroblast (147)	PDGFRA, GSN, DCN
telocyte (interstitial like cell of cajal) (148)	CD34, vimentin
lymphocyte (149)	CD8A, NKG7, LCK
dendritic cell (150)	CD14, C1QA, FOLR2
valve interstitial cell (151)	PDGFRA, GSN
endothelial cell (152)	PECAM1, VWF, CDH5
valve interstitial cell (153)	PDGFRA, GSN
endothelial cell (154)	PECAM1, VWF, CDH5
valve interstitial cell (155)	PDGFRA, GSN
endothelial cell (156)	PECAM1, VWF, CDH5
valve interstitial cell (157)	PDGFRA, GSN
endothelial cell (158)	PECAM1, VWF, CDH5
mesothelial cell (159)	CRT, AE1/AE3, MSLN, WT1
adipocyte (160)	GPAM, LEP, FASN
Schwann Cell (161)	SOX10, S100
smooth muscle cell (162)	MYH11, TAGLN, ACTA2
fibroblast (163)	PDGFRA, GSN, DCN
endothelial cell (164)	PECAM1, VWF, CDH5
macrophage (165)	CD14, C1QA, FOLR2
lymphocyte (166)	CD3, CD20
