basal cell of bladder urothelium (0)	KRT5, S100A2, DKK1
intermediate cell of bladder urothelium (1)	TP63, KRT13, AKR1C1
superficial cell of bladder urothelium (2)	UPK1A, UPK3A, UPK1B
detrusor smooth muscle cell of bladder (3)	DES, ACTG2, in stromal lineages, myof as well, ACTA2-AS1
myofibroblast cell of bladder (4)	STC1, TNC, MFAP4
PI16+ fibroblast cell of bladder (5)	PI16, MFAP5, DCN
DPT+ fibroblast cell of bladder (6)	DPT, C7, DCN
lipofibroblast cell of bladder (7)	PILRA, SLPI, APOE
endothelial cell of bladder (8)	PECAM1, CLDN5, SELE
vascular smooth muscle cell of bladder (9)	MCAM, ADRA2A, ACTA2
pericyte cell of bladder (10)	CD36, AVPR1A, ACTA2
