Endothelial cell (0)	CLDN5
[] (1)	SMA, desmin
Fibroblast (5)	DCN5
fibroblast-mesenchymal cell (6)
macrophage (7)	LYZ
CD8+ T-cells (8)	CD3E
Natural killer cell (9)	KLRC1
CD4+ T-cell (10)	CD3E
Langerhans cell (11)
monocyte (12)	LYZ
dendritic cell (13)	LYZ
mast cell (14)	TPSB1
B cell (15)	CD79A
plasma cell (16)	JCHAIN
neutrophils (17)
ciliated epithelial cell (19)	FOXJ1+
secretory epithelial cell (20)	PAX8, OVGP1
intercalary of Fallopian tube isthmus (21)
Endothelial cell (25)	CLDN5
[] (26)	SMA, desmin
Fibroblast (30)	DCN5
fibroblast-mesenchymal cell (31)
macrophage (32)	LYZ
CD8+ T-cells (33)	CD3E
Natural killer cell (34)	KLRC1
CD4+ T-cell (35)	CD3E
Langerhans cell (36)
monocyte (37)	LYZ
dendritic cell (38)	LYZ
mast cell (39)	TPSB1
B cell (40)	CD79A
plasma cell (41)	JCHAIN
neutrophils (42)
ciliated epithelial cell (44)	FOXJ1+
secretory epithelial cell (45)	PAX8, OVGP1
intercalary of Fallopian tube ampulla (46)
Endothelial cell (50)	CLDN5
[] (51)	SMA, desmin
Fibroblast (55)	DCN5
fibroblast-mesenchymal cell (56)
macrophage (57)	LYZ
CD8+ T-cells (58)	CD3E
Natural killer cell (59)	KLRC1
CD4+ T-cell (60)	CD3E
Langerhans cell (61)
monocyte (62)	LYZ
dendritic cell (63)	LYZ
mast cell (64)	TPSB1
B cell (65)	CD79A
plasma cell (66)	JCHAIN
neutrophil (67)
ciliated epithelial cell (69)	FOXJ1+
secretory epithelial cell (70)	PAX8, OVGP1
intercalary of Fallopian tube infundibulum (71)
Endothelial cell (75)	CLDN5
[] (76)	SMA, desmin
Fibroblast (80)	DCN5
fibroblast-mesenchymal cell (81)
macrophage (82)	LYZ
CD8+ T-cells (83)	CD3E
Natural killer cell (84)	KLRC1
CD4+ T-cell (85)	CD3E
Langerhans cell (86)
monocyte (87)	LYZ
dendritic cell (88)	LYZ
mast cell (89)	TPSB1
B cell (90)	CD79A
plasma cell (91)	JCHAIN
neutrophil (92)
ciliated epithelial cell (94)	FOXJ1+
secretory epithelial cell (95)	PAX8, OVGP1
intercalary of Fallopian tube fimbria (96)
epithelial cell (100)
