Keratinocyte (Corneocyte) (0)
Keratinocyte (Granular) (1)
Langerhans cell (2)
Keratinocytes (Spinous) (3)
Langerhans cell (4)
Merkel cell (5)
Keratinocyte (Basal) (6)
Langerhans cell (7)
Merkel cell (8)
Melanocyte (9)
Keratinocyte (Onychocyte) (10)
keratinocyte stem cell (11)
Germinative (epithelial) cell, Sebocyte (12)
Eccrine cell, myoepithelial cell (13)
Apocrine cell, myoepithelial cell (14)
Myoepithelial cell (15)
Fibroblast (16)
Fibroblast (17)
Fibroblast (18)
Mast cell (19)
Dendritic cell (DC1) (20)
Dendritic cell (DC2) (21)
Dendritic cell (monocyte-derived) (22)
Dendritic cell (migratory) (23)
Macrophage (24)
Macrophage (25)
T helper (26)
T killer (27)
T reg (28)
Natural killer cell (29)
Natural killer cell / Innate lymphoid cell 1 (30)
Innate lymphoid cell 2 (31)
Innate lymphoid cell 3 (32)
B cell (33)
Plasma cell (34)
Neutrophil (35)
Eosinophil (36)
Neuron (37)
Schwann cell (38)
perineurial cells (39)
Endothelial cell (40)
Endothelial cell (41)
Endothelial cell (42)
Perivascular smooth muscle cell (43)
Glomus cell (44)
Pericyte (45)
Pericyte (46)
Lymphatic (47)
Lymphatic (48)
Adipocyte (49)
Fibroblast (50)
Macrophage (51)
Mast cell (52)
T helper (53)
T killer (54)
T reg (55)
B cell (56)
Neutrophil (57)
Eosinophil (58)
Neuron (59)
Schwann cell (60)
Perineural cell (61)
Endothelial cell (62)
Perivascular smooth muscle cell (63)
Glomus cell (64)
