absorptive (0)	keratin 20, BEST4
goblet (1)	keratin 20, MUC2
epithelial stem cell (2)	RGMB, SOX9, CD44, Lgr5, LRIG1, SMOC2
Paneth (3)	DEFA5
neuroendocrine (4)	chromogranin A, synaptophysin, INSM1, INSL5
absorptive (5)	keratin 20, BEST4
goblet (6)	keratin 20, MUC2
transient amplifying cell (7)	keratin 20
tuft cell (8)	keratin 20, DCLK1, TRPM5, POU2F3, PTGS1
surface intraepithelial CD8+ alph alpha positive alpha/beta lymphocyte (9)	CD3, CD7, CD2, CD5, CD3-TCR, CD8
surface intraepithelial CD8+ lymphocyte gamma/delta (10)	CD3, CD7, CD2, CD5, CD3-TCR, CD8
surface intraepithelial CD8+ alph beta positive alpha/beta lymphocyte (11)	CD3, CD7, CD2, CD5, CD3-TCR, CD8
surface intraepithelial CD4+ lymphocyte (12)	CD3, CD7, CD2, CD5, CD3-TCR, CD4
surface intraepithelial CD4-CD8- lymphocyte alpha/beta (13)	CD3, CD7, CD2, CD5, CD3-TCR
eosinophil (14)	CD11b, CD294
subepithelial membrane (15)	aSMA
pericryptal fibroblastic sheath (16)	aSMA, WNT2B, RSPO3
capillary endothelium (17)	PECAM1/CD31, CD34, CD36
lymphatic endothelium (18)	PECAM1/CD31, podoplanin
pericyte (19)	PDGFRB
myofibroblast (20)	aSMA
fibroblast (21)	Col6A1, Col6A2
nerve/schwann cell (22)	S100, CD56, PGP9.5
ganglion (23)	peripherin, MAP-2
neuroendocrine cell (24)	chromogranin A, synaptophysin, INSM1
M cell (25)
B cell (26)	CD21, CD19, CD20, CD79a
CD4+ T cell (27)	CD3, CD7, CD2, CD5, CD3-TCR, CD4
regulatory CD4+ T cell (28)	CD4, FOXP3, CD25
CD8+ T cell (29)	CD3, CD7, CD2, CD5, CD3-TCR, CD8
macrophage (30)	HLA-DR, CD163, CD206, CD11b, CD68
NK cell (31)	CD56, CD57, CD11c, NKG2D
ILF lymphatic endothelium (32)	LYVE-1
ILV high endothelial venule endothelium (33)	MADCAM1
B cell (34)	CD21, CD19, CD20, CD79a
plasma cell (35)	CD138
CD4+ T cell (36)	CD3, CD7, CD2, CD5, CD3-TCR, CD4
regulatory CD4+ T cell (37)	CD4, FOXP3, CD25
CD8+ T cell (38)	CD3, CD7, CD2, CD5, CD3-TCR, CD8
macrophage (39)	HLA-DR, CD163, CD206, CD11b, CD68
eosinophil (40)	CD11b, CD294
mast cell (41)	CD117, MCT
neutrophil (normally intravascular only) (42)	CD15, CD16
NK cell (43)	CD56, CD57, CD11c, NKG2D
dendritic cell (44)	HLA-DR, CD11c, CD123
innate lymphoid cell (45)	CD127, CD117, CD161
fibroblast (46)	Col6A1, Col6A2
nerve (47)	PDL1, CD56, PGP9.5
capillary endothelium (48)	CD31, CD34, CD36
lymphatic endothelium (49)	CD31, podoplanin
pericyte (50)	PDGFRB
adipocyte (51)	S100
fibroblast (52)	Col6A1, Col6A2
nerve (53)	S100, SOX10, PGP9.5
arteriole endothelium (54)	CD31, CD34, CD36
venule endothelium (55)	CD31, CD34, CD36
lymphatic endothelium (56)	CD31, podoplanin
capillary endothelium (57)	PECAM1/CD31, CD34, CD36
pericyte (58)	PDGFRB
CD4+ T cell (59)	CD3, CD7, CD2, CD5, CD4
regulatory CD4+ T cell (60)	CD4, FOXP3, CD25
CD8+ T cell (61)	CD3, CD7, CD2, CD5, CD3-TCR, CD8
macrophage (62)	HLA-DR, CD163, CD206, CD11b, CD68
NK cell (63)	CD56, CD57, CD11c, NKG2D
dendritic cell (64)	HLA-DR, CD11c, CD123
ILF lymphatic endothelium (65)	LYVE-1
ILV high endothelial venule endothelium (66)	MADCAM1
pericyte (67)	PDGFRB
M cell (68)
B cell (69)	CD21, CD19, CD20, CD79a
nerve (70)	S100, SOX10, PGP9.5
ganglion (71)	peripherin, MAP-2
nerve (72)	S100, SOX10, PGP9.5
ganglion (73)	peripherin, MAP-2
nerve (74)	S100, SOX10, PGP9.5
ganglion (75)	peripherin, MAP-2
interstitial cell of Cajal (76)	CD117, CD34
muscle (77)	aSMA, smoothelin
fibroblast (78)	Col6A1, Col6A2
nerve (79)	S100, SOX10, PGP9.5
arteriole endothelium (80)	CD31, CD34, CD36
venule endothelium (81)	CD31, CD34, CD36
lymphatic endothelium (82)	CD31, podoplanin
pericyte (83)	PDGFRB
interstitial cell of Cajal (84)	CD117, CD34
ganglion (85)	peripherin, MAP-2
nerve (86)	S100, SOX10, PGP9.5
fibroblast (87)	Col6A1, Col6A2
arteriole endothelium (88)	CD31, CD34, CD36
venule endothelium (89)	CD31, CD34, CD36
lymphatic endothelium (90)	PDL1, CD56, PGP9.5
pericyte (91)	PDGFRB
muscle (92)	aSMA, smoothelin
fibroblast (93)	Col6A1, Col6A2
nerve (94)	S100, SOX10, PGP9.5
arteriole endothelium (95)	CD31, CD34, CD36
venule endothelium (96)	CD31, CD34, CD36
lymphatic endothelium (97)	CD31, podoplanin
pericyte (98)	CD31
fibroblast (99)	Col6A1, Col6A2
nerve (100)	S100, SOX10, PGP9.5
arteriole endothelium (101)	CD31, CD34, CD36
venule endothelium (102)	CD31, CD34, CD36
lymphatic endothelium (103)	CD31, podoplanin
adipocyte (104)	S100
pericyte (105)	PDGFRB
mesothelial cell (106)	keratin 8, keratin 18, calretinin
absorptive (107)	keratin 20, BEST4
goblet (108)	keratin 20, MUC2
epithelial stem cell (109)	RGMB, SOX9, CD44, Lgr5, LRIG1, SMOC2
Paneth (110)	defensin alpha 5
neuroendocrine (111)	chromogranin A, synaptophysin, INSM1, INSL5
absorptive (112)	keratin 20, BEST4
goblet (113)	keratin 20, MUC2
transient amplifying cell (114)	keratin 20
tuft cell (115)	keratin 20, DCLK1, TRPM5, POU2F3, PTGS1
surface intraepithelial CD8+ alph alpha positive alpha/beta lymphocyte (116)	CD3, CD7, CD2, CD5, CD3-TCR, CD8
surface intraepithelial CD8+ lymphocyte gamma/delta (117)	CD3, CD7, CD2, CD5, CD3-TCR, CD8
surface intraepithelial CD8+ alph beta positive alpha/beta lymphocyte (118)	CD3, CD7, CD2, CD5, CD3-TCR, CD8
surface intraepithelial CD4+ lymphocyte (119)	CD3, CD7, CD2, CD5, CD3-TCR, CD4
surface intraepithelial CD4-CD8- lymphocyte alpha/beta (120)	CD3, CD7, CD2, CD5, CD3-TCR
eosinophil (121)	CD11b, CD294
subepithelial membrane (122)	aSMA
pericryptal fibroblastic sheath (123)	aSMA
capillary endothelium (124)	PECAM1/CD31, CD34, CD36
lymphatic endothelium (125)	PECAM1/CD31, podoplanin
pericyte (126)	PDGFRB
myofibroblast (127)	aSMA
fibroblast (128)	Col6A1, Col6A2
nerve/schwann cell (129)	S100, CD56, PGP9.5
ganglion (130)	peripherin, MAP-2
neuroendocrine cell (131)	chromogranin A, synaptophysin, INSM1
M cell (132)
B cell (133)	CD21, CD19, CD20, CD79a
CD4+ T cell (134)	CD3, CD7, CD2, CD5, CD3-TCR, CD4
regulatory CD4+ T cell (135)	CD4, FOXP3, CD25
CD8+ T cell (136)	CD3, CD7, CD2, CD5, CD3-TCR, CD8
macrophage (137)	HLA-DR, CD163, CD206, CD11b, CD68
NK cell (138)	CD56, CD57, CD11c, NKG2D
ILF lymphatic endothelium (139)	LYVE-1
ILV high endothelial venule endothelium (140)	MADCAM1
B cell (141)	CD21, CD19, CD20, CD79a
plasma cell (142)	CD138
CD4+ T cell (143)	CD3, CD7, CD2, CD5, CD3-TCR, CD4
regulatory CD4+ T cell (144)	CD4, FOXP3, CD25
CD8+ T cell (145)	CD3, CD7, CD2, CD5, CD3-TCR, CD8
macrophage (146)	HLA-DR, CD163, CD206, CD11b, CD68
eosinophil (147)	CD11b, CD294
mast cell (148)	CD117, MCT
neutrophil (normally intravascular only) (149)	CD15, CD16
