immature B cell (0)	CD19, PAX5, IGHM, MS4A1
memory B cell (1)	CD19, MS4A1, IGHA1, IGHG1, CD82, SELL, CD27
naive B cell (2)	CD19, PAX5, IGHM, MS4A1, CD40, FCER2
transitional B cell (3)	IGLL5, SOX4, BCL7A, TCL1A, FCRLA, CD24
dendritic cell type 1 (DC1) (4)	CLEC9A, CADM1, XCR1
dendritic cell type 2 (DC2) (5)	CD1C, FCER1A, CLEC10A, HLA-DQA2, HLA-DPB1, FCGR2B
dendritic cell type 3 (DC3) (6)	CD1C, FCER1A, CLEC10A, S100A8, S100A9, CD36, CD163
Plasmacytoid Dendritic Cell (pDC) (7)	GZMB, JCHAIN, SERPINF1
transitional Dendritic Cell (tDC) (8)	AXL, SIGLEC6, CD22
CD14 monocyte (9)	VCAN, CST3, CD14, S100A8, S100A9, FCN
CD16 monocyte (10)	HES4, MS4A7, IFITM3, FCGR3A, CXCL16, LST1
neutrophil (11)	ITGAM, MMP9, PGLYRP1, ORM1, S100A12, FCN1
eosinophil (12)	HDC, CLC, CPA3, IL5RA, GATA2, MS4A3, HPGDS
basophil (13)	HDC, CLC, CPA3, IL5RA, GATA2, MS4A3, IL3RA
CD4 naïve (14)	CD3D, TRAC, TRBC1, IL7R, TRAT1, LTB, AQP3, CD40LG
CD4 T cell memory (15)	CD3D, TRAC, IFI6, LGALS3, PDZD8, ANXA2, CRIP1
CD4 T cell memory (16)	CD3D, TRAC, IL4R, STAT1, MAL, SOCS1, IL2, ODC1, PSAT1, WARS, PYCR1, TNF, NME1
CD4 T cell effector memory CD45RA (17)	CD3D, TRAC, IL4R, STAT1, MAL, SOCS1, IL2, ODC1, PSAT1, WARS, PYCR1, TNF, NME1
CD8 naïve (18)	CD3D, TRAC, AQP3, IL7R
CD8 T cell memory (19)	PDZD8, CXCR6, PRF1, CRIP1, ITGA1, GZMB
CD8 T cell effector memory (20)	CD3D, TRAC, CCL3, CCL4, HOPX, GZMB
CD8 T cell effector memory CD45RA (21)	CD3D, TRAC, PRF1, HOPX, NKG7, GNLY, IFIT3, KLRD1, CCL5
mature CD8 T cell (22)	CCL5, GZMH, IL32, CD8A, DUSP2, KLRG1, TRGC2, GZMK
CD56 bright Natural killer (23)	TRDC, KLRB1, CLIC3, CST7, XCL1, GZMK
mature Natural killer (24)	TRDC, KLRB1, CLIC3, CST7, GZMA, GZMB, PRF1, FCGR3A
T regulatory (25)	TRAC, TRBC1, IL7R, TRAT1, LTB, AQP3, FOXP3, TNFRSF25, TIGIT, CCR6, TNFRSF4
