precursor B cell:Bone Marrow	IGHM;IGHD;CD19;PAX5
immature B cell:Bone Marrow	IGHM;MS4A1;CD19;PAX5
memory B cell:Bone Marrow	IGHA1;SELL;CD19;IGHG1;MS4A1;CD27;CD82
naive B cell:Bone Marrow	CD19;CD40;PAX5;MS4A1;IGHM;FCER2
plasma cell:Bone Marrow	IGHA1;TNFRSF17;IGKC;DERL3;IGHG1;SDC1;SEC11C;MZB1
pro-B cell:Bone Marrow	DNTT;RAG1;VPREB1;MME
transitional stage B cell:Bone Marrow	TCL1A;FCRLA;BCL7A;SOX4;CD24;IGLL5
conventional dendritic cell:Bone Marrow	CLEC9A;HLA-DQA2;HLA-DPB1;CD1C;CLEC10A;XCR1;CADM1;FCER1A;FCGR2B
dendritic cell, human:Bone Marrow	CD36;CD163;CD1C;S100A8;CLEC10A;FCER1A;S100A9
plasmacytoid dendritic cell, human:Bone Marrow	SERPINF1;GZMB;JCHAIN
immature conventional dendritic cell:Bone Marrow	CD22;AXL;SIGLEC6
erythroid lineage cell:Bone Marrow	CD36;TSPO2;DCAF12;EPCAM;HBA2;BPGM;SPTA1;ALAS2;KCNH2;PRSS57;HBB;RHAG;MYC;HBG1;ADIPOR1,;GATA1;RHCE;KLF1;APOC1
Megakaryocyte (MK):Bone Marrow	GP9;PPBP;CLEC1B;ITGA2B;PF4;LAT;CAVIN2
megakaryocyte progenitor cell:Bone Marrow	PLEK;PDLIM1;SDPR;FCER1A;GATA2
megakaryocyte-erythroid progenitor cell:Bone Marrow	CD34;IL1B;SPINK2;CTNNBL1;GATA1;PRSS57;GATA2;TESPA1
common lymphoid progenitor:Bone Marrow	LAT2;CD200;UMODL1;CYGB;PRDX1;ADA
common myeloid progenitor:Bone Marrow	SERPINB1;HPGDS;MEST;CYTL1;GATA2
granulocyte-macrophage progenitor cell (GMP):Bone Marrow	CD34;CLEC11A;CALR;AZU1;MPO
hematopoietic stem cell:Bone Marrow	CD34;PROM1;AVP. CRHBP;HLF;BEX1;NPR3
lympho-myeloid progenitor cell (LMPP):Bone Marrow	BCL11A;CD34;JCHAIN;IL2RG;SYK;SOX4
hematopoietic multipotent progenitor cell:Bone Marrow	FLT3;CD34;SPINK2
CD14-positive monocyte:Bone Marrow	CD14;FCN;S100A8;CST3;S100A9;VCAN
CD14-low, CD16-positive monocyte:Bone Marrow	LST1;HES4;IFITM3;MS4A7;CXCL16;FCGR3A
promonocyte:Bone Marrow	S100A6;CST3;CCR2;S100A4;CX3CR1;HLA-DRA
Myeloid progenitor (MOP):Bone Marrow	KLF4;IRF8;SPI1;CEBPB
myelocyte:Bone Marrow	STOM;LCN2;CAMP;LTF;CEACAM8
neutrophil:Bone Marrow	ITGAM;S100A12;FCN1;ORM1;PGLYRP1;MMP9
promyelocyte:Bone Marrow	CTSG;AZU1;PRTN3;MPO;ELANE
eosinophil:Bone Marrow	CLC;IL5RA;HPGDS;MS4A3;CPA3;GATA2;HDC
basophil:Bone Marrow	IL3RA;CLC;IL5RA;MS4A3;CPA3;GATA2;HDC
mast cell:Bone Marrow	CLC;IL5RA;TPSAB1;HPGDS;KIT;MS4A3;CPA3;GATA2;HDC
CD4 naïve:Bone Marrow	TRBC1;TRAT1;CD40LG;AQP3;CD3D;LTB;IL7R;TRAC
CD4 T cell memory:Bone Marrow	PSAT1;PYCR1;SOCS1;PDZD8;ODC1;MAL;TNF;CD3D;IL4R;IL2;LGALS3;NME1;TRAC;STAT1;IFI6;CRIP1;WARS;ANXA2
CD4 T cell effector memory CD45RA:Bone Marrow	PSAT1;PYCR1;SOCS1;TNF;ODC1;MAL;CD3D;IL2;NME1;TRAC;STAT1;WARS;IL4R
CD8 naïve:Bone Marrow	AQP3;IL7R;TRAC;CD3D
CD8 T cell memory:Bone Marrow	CXCR6;GZMB;PDZD8;CRIP1;PRF1;ITGA1
CD8 T cell effector memory:Bone Marrow	CCL4;GZMB;CD3D;HOPX;CCL3;TRAC
effector memory CD8-positive, alpha-beta T cell, terminally differentiated:Bone Marrow	NKG7;KLRD1;IFIT3;CD3D;HOPX;PRF1;TRAC;GNLY;CCL5
mature CD8 T cell:Bone Marrow	DUSP2;GZMH;TRGC2;GZMK;CD8A;KLRG1;IL32;CCL5
CD16-negative, CD56-bright natural killer cell:Bone Marrow	TRDC;KLRB1;CLIC3;GZMK;XCL1;CST7
mature natural killer cell:Bone Marrow	TRDC;GZMB;KLRB1;PRF1;CLIC3;GZMA;CST7;FCGR3A
regulatory T cell:Bone Marrow	TRBC1;TRAT1;TNFRSF25;TIGIT;AQP3;CCR6;LTB;IL7R;TRAC;TNFRSF4;FOXP3
