basal cell of bladder urothelium:Urinary Bladder	DKK1;S100A2;KRT5
intermediate cell of bladder urothelium:Urinary Bladder	KRT13;AKR1C1;TP63
superficial cell of bladder urothelium:Urinary Bladder	UPK3A;UPK1B;UPK1A
detrusor smooth muscle cell of bladder:Urinary Bladder	ACTG2;ACTA2-AS1;in stromal lineages, myof as well;DES
myofibroblast cell of bladder:Urinary Bladder	MFAP4;STC1;TNC
PI16+ fibroblast cell of bladder:Urinary Bladder	MFAP5;DCN;PI16
DPT+ fibroblast cell of bladder:Urinary Bladder	C7;DCN;DPT
lipofibroblast cell of bladder:Urinary Bladder	PILRA;SLPI;APOE
endothelial cell of bladder:Urinary Bladder	CLDN5;PECAM1;SELE
vascular smooth muscle cell of bladder:Urinary Bladder	MCAM;ACTA2;ADRA2A
pericyte cell of bladder:Urinary Bladder	ACTA2;AVPR1A;CD36
